xdate,temp,press,rain_1h,windspeed
2021-03-20 11:23:17,8.6,1032,0.0,3.09
2021-03-20 11:28:14,8.6,1032,0.0,3.09
2021-03-20 11:33:13,8.8,1032,0.0,0.45
2021-03-20 11:38:13,8.9,1032,0.0,0.89
2021-03-20 11:43:13,8.9,1032,0.0,0.89
2021-03-20 11:48:13,8.9,1032,0.0,0.89
2021-03-20 11:53:13,8.9,1032,0.0,0.89
2021-03-20 11:58:13,9.0,1032,0.0,0.89
2021-03-20 12:03:13,9.1,1032,0.0,3.09
2021-03-20 12:08:14,9.1,1032,0.0,3.09
2021-03-20 12:13:13,9.1,1032,0.0,3.09
2021-03-20 12:18:14,9.1,1032,0.0,3.09
2021-03-20 12:23:13,9.1,1032,0.0,3.09
2021-03-20 12:28:13,9.0,1032,0.0,3.09
2021-03-20 12:33:13,8.9,1031,0.0,3.09
