xdate,temp,press,rain_1h,windspeed

02-25-2021 07:11:17,9.0,1024,0,3.09
02-25-2021 07:16:17,9.0,1024,0,3.09
02-25-2021 07:21:16,9.0,1024,0,3.09
02-25-2021 07:26:16,9.0,1024,0,3.09
02-25-2021 07:31:16,9.0,1024,0,3.09
02-25-2021 07:36:17,8.9,1024,0,3.09
02-25-2021 07:41:17,8.9,1024,0,3.09
02-25-2021 07:46:16,8.9,1024,0,3.09
02-25-2021 07:51:16,8.9,1024,0,3.09
02-25-2021 07:56:17,8.9,1024,0,3.09
02-25-2021 08:01:17,8.9,1024,0,3.09
02-25-2021 08:06:16,8.9,1025,0,3.09
02-25-2021 08:11:17,8.9,1025,0,3.09
02-25-2021 08:16:17,8.9,1025,0,3.09
02-25-2021 08:21:16,8.9,1025,0,3.09
02-25-2021 08:26:17,8.9,1025,0,3.09
02-25-2021 08:31:17,8.9,1025,0,3.09
02-25-2021 08:36:17,8.9,1025,0.11,2.57
02-25-2021 08:41:17,8.9,1025,0,2.57
02-25-2021 08:46:18,8.9,1025,0,2.57
02-25-2021 08:51:17,8.8,1025,0,2.57
02-25-2021 08:56:17,8.9,1025,0,2.57
02-25-2021 09:01:17,8.9,1025,0,2.57
02-25-2021 09:06:17,9.0,1025,0,2.06
02-25-2021 09:11:17,8.9,1025,0,2.06
02-25-2021 09:16:17,9.0,1025,0,2.06
02-25-2021 09:21:17,9.0,1025,0.27,2.06
02-25-2021 09:26:17,9.0,1025,0.27,2.06
02-25-2021 09:31:17,9.1,1025,0.23,2.06
02-25-2021 09:36:17,9.0,1026,0.23,2.57
02-25-2021 09:41:18,9.0,1026,0,2.57
02-25-2021 09:46:17,9.0,1026,0.3,2.57
02-25-2021 09:51:17,9.1,1026,0.8,2.57
02-25-2021 09:56:17,9.1,1026,0.41,2.57
02-25-2021 10:01:17,9.1,1026,0.47,2.57
02-25-2021 10:06:16,9.2,1026,1.11,2.57
02-25-2021 10:11:17,9.2,1026,1.5,2.57
02-25-2021 10:16:17,9.3,1026,0.37,2.57
02-25-2021 10:21:17,9.3,1026,0.37,2.57
02-25-2021 10:26:18,9.4,1026,0.42,2.57
02-25-2021 10:31:18,9.6,1026,0.55,2.57
02-25-2021 10:36:17,9.6,1026,0.49,3.09
02-25-2021 10:41:17,9.6,1026,0.8,3.09
02-25-2021 10:46:17,9.6,1026,0.63,3.09
02-25-2021 10:51:16,9.6,1026,0.63,3.09
02-25-2021 10:56:17,9.6,1026,0.83,3.09
02-25-2021 11:01:17,9.7,1026,0.41,3.09
02-25-2021 11:06:16,9.8,1027,0.13,1.54
02-25-2021 11:11:17,9.8,1027,0.12,1.54
02-25-2021 11:16:17,10,1027,0,1.54
02-25-2021 11:21:17,9.9,1027,0,1.54
02-25-2021 11:26:16,10.1,1027,0,1.54
02-25-2021 11:31:16,10.1,1027,0,1.54
02-25-2021 11:36:17,10.2,1027,0,3.09
02-25-2021 11:41:17,10.2,1027,0,3.09
02-25-2021 11:46:17,10.3,1027,0.17,3.09
02-25-2021 11:51:17,10.3,1027,0.24,3.09
02-25-2021 11:56:16,10.3,1027,0,3.09
02-25-2021 12:01:17,10.4,1027,0.17,3.09
02-25-2021 12:06:17,10.5,1027,0,3.6
02-25-2021 12:11:17,10.5,1027,0.27,3.6
02-25-2021 12:16:17,10.4,1027,0.41,3.6
02-25-2021 12:21:17,10.5,1027,0.2,3.6
02-25-2021 12:26:18,10.4,1027,0.18,3.6
02-25-2021 12:31:17,10.8,1027,0.11,0.89
02-25-2021 12:36:17,10.8,1027,0.24,3.09
02-25-2021 12:41:17,10.8,1027,0,3.09
02-25-2021 12:46:17,11.1,1027,0,3.09
02-25-2021 12:51:17,11.1,1027,0,3.09
02-25-2021 12:56:16,11.2,1027,0.23,3.09
02-25-2021 13:01:17,11.3,1027,0.24,3.09
02-25-2021 13:06:17,11.3,1027,0.12,3.6
02-25-2021 13:11:16,11.3,1027,0,3.6
02-25-2021 13:16:17,11.2,1027,0,3.6
02-25-2021 13:21:16,11.2,1027,0,3.6
02-25-2021 13:26:17,11.3,1027,0.12,3.6
02-25-2021 13:31:17,11.3,1027,0,3.6
02-25-2021 13:36:17,11.4,1027,0.15,3.09
02-25-2021 13:41:17,11.4,1027,0,3.09
02-25-2021 13:46:17,11.5,1027,0,3.09
02-25-2021 13:51:16,11.4,1027,0,3.09
02-25-2021 13:56:17,11.4,1027,0,3.09
02-25-2021 14:01:18,11.3,1027,0,3.09
02-25-2021 14:06:17,11.2,1028,0,4.12
02-25-2021 14:11:17,11.2,1028,0,4.12
02-25-2021 14:16:18,11.2,1028,0,4.12
02-25-2021 14:21:17,11.2,1028,0,4.12
02-25-2021 14:26:18,11.2,1028,0,4.12
02-25-2021 14:31:17,11.2,1028,0,4.12
02-25-2021 14:36:17,11.3,1028,0,3.09
02-25-2021 14:41:17,11.3,1028,0,3.09
02-25-2021 14:46:17,11.3,1028,0,3.09
02-25-2021 14:51:17,11.3,1028,0,3.09
02-25-2021 14:56:17,11.3,1028,0,3.09
02-25-2021 15:01:17,11.4,1028,0,3.09
02-25-2021 15:06:17,11.4,1028,0,4.12
02-25-2021 15:11:17,11.4,1028,0,4.12
02-25-2021 15:16:17,11.4,1028,0,4.12
02-25-2021 15:21:17,11.4,1028,0,4.12
02-25-2021 15:26:17,11.2,1028,0,4.12
02-25-2021 15:31:17,11.3,1028,0,4.12
02-25-2021 15:36:17,11.2,1028,0,4.12
02-25-2021 15:41:17,11.2,1028,0,4.12
02-25-2021 15:46:18,11.2,1028,0,4.12
02-25-2021 15:51:17,11.2,1028,0,4.12
02-25-2021 15:56:17,11.1,1028,0,4.12
02-25-2021 16:01:17,11.1,1028,0,4.12
02-25-2021 16:06:17,11.0,1028,0,3.09
02-25-2021 16:11:16,11.0,1028,0,3.09
02-25-2021 16:16:17,11.0,1028,0,3.09
02-25-2021 16:21:17,10.9,1028,0,3.09
02-25-2021 16:26:17,10.9,1028,0,3.09
02-25-2021 16:31:18,10.9,1028,0,3.09
02-25-2021 16:36:17,10.8,1028,0,3.09
02-25-2021 16:41:17,10.7,1028,0,3.09
02-25-2021 16:46:17,10.6,1028,0,3.09
02-25-2021 16:51:17,10.6,1028,0,3.09
02-25-2021 16:56:17,10.6,1028,0,3.09
02-25-2021 17:01:17,10.5,1028,0,3.09
02-25-2021 17:06:17,10.5,1029,0,2.57
02-25-2021 17:11:17,10.5,1029,0,2.57
02-25-2021 17:16:17,10.4,1029,0,2.57
02-25-2021 17:21:17,10.1,1029,0,2.57
02-25-2021 17:26:17,10.1,1029,0,2.57
02-25-2021 17:31:17,10.0,1029,0,2.57
02-25-2021 17:36:17,10.0,1029,0,2.06
02-25-2021 17:41:17,10.0,1029,0,2.06
02-25-2021 17:46:17,9.9,1029,0,2.06
02-25-2021 17:51:18,9.8,1029,0,2.06
02-25-2021 17:56:17,9.9,1029,0,2.06
02-25-2021 18:01:17,9.8,1029,0,2.06
02-25-2021 18:06:17,9.5,1030,0,1.54
02-25-2021 18:11:17,9.4,1030,0,1.54
02-25-2021 18:16:17,9.4,1030,0,1.54
02-25-2021 18:21:18,9.3,1030,0,1.54
02-25-2021 18:26:17,9.1,1030,0,1.54
02-25-2021 18:31:17,9.0,1030,0,1.54
02-25-2021 18:36:17,8.8,1031,0,2.65
02-25-2021 18:41:17,8.8,1031,0,2.65
02-25-2021 18:46:17,8.7,1030,0,2.65
02-25-2021 18:51:17,8.5,1031,0,2.65
02-25-2021 18:56:17,8.4,1031,0,2.65
02-25-2021 19:01:17,8.2,1030,0,2.54
02-25-2021 19:06:17,8.0,1031,0,2.54
02-25-2021 19:11:17,8.0,1031,0,2.54
02-25-2021 19:16:17,7.7,1030,0,2.54
02-25-2021 19:21:17,7.6,1031,0,2.54
02-25-2021 19:26:17,7.6,1031,0,2.54
02-25-2021 19:31:17,7.3,1031,0,2.54
02-25-2021 19:36:17,7.1,1031,0,2.54
02-25-2021 19:41:17,7.0,1031,0,2.54
02-25-2021 19:46:17,6.9,1031,0,2.54
02-25-2021 19:51:17,6.4,1031,0,3.09
02-25-2021 19:56:17,6.4,1031,0,3.09
02-25-2021 20:01:17,6.3,1031,0,3.09
02-25-2021 20:06:17,6.3,1032,0,0.89
02-25-2021 20:11:17,6.3,1032,0,0.89
02-25-2021 20:16:17,6.3,1031,0,2.77
02-25-2021 20:21:17,6.3,1032,0,0.89
02-25-2021 20:26:17,6.4,1032,0,0.45
02-25-2021 20:31:17,6.4,1032,0,0.45
02-25-2021 20:36:17,6.5,1032,0,3.09
02-25-2021 20:41:17,6.5,1032,0,3.09
02-25-2021 20:46:17,6.4,1032,0,3.09
02-25-2021 20:51:17,6.2,1032,0,3.09
02-25-2021 20:56:17,6.2,1032,0,3.09
02-25-2021 21:01:17,6.2,1032,0,3.09
02-25-2021 21:06:17,6.5,1032,0,2.57
02-25-2021 21:11:19,6.4,1032,0,2.57
02-25-2021 21:16:17,6.4,1032,0,2.57
02-25-2021 21:21:17,6.3,1032,0,2.57
02-25-2021 21:26:17,6.2,1032,0,2.57
02-25-2021 21:31:17,6.4,1032,0,2.57
02-25-2021 21:36:17,6.2,1033,0,0.45
02-25-2021 21:41:17,6.2,1033,0,0.45
02-25-2021 21:46:17,6.3,1032,0,2.79
02-25-2021 21:51:17,6.1,1033,0,0.45
02-25-2021 21:56:17,6.1,1033,0,2.79
02-25-2021 22:01:17,6.1,1032,0,0.45
02-25-2021 22:06:17,5.7,1033,0,2.06
02-25-2021 22:11:17,5.7,1033,0,2.06
02-25-2021 22:16:17,5.7,1033,0,2.06
02-25-2021 22:21:17,5.6,1033,0,2.06
02-25-2021 22:26:17,5.6,1033,0,2.06
02-25-2021 22:31:17,5.5,1033,0,2.06
02-25-2021 22:36:17,5.4,1033,0,2.69
02-25-2021 22:41:17,5.4,1033,0,2.69
02-25-2021 22:46:17,5.3,1033,0,2.69
02-25-2021 22:51:17,5.1,1033,0,2.69
02-25-2021 22:56:17,5.1,1033,0,2.69
02-25-2021 23:01:17,5.0,1033,0,2.45
02-25-2021 23:06:17,4.8,1033,0,2.45
02-25-2021 23:11:17,4.8,1033,0,2.45
02-25-2021 23:16:17,4.7,1033,0,2.45
02-25-2021 23:21:17,4.5,1033,0,2.45
02-25-2021 23:26:17,4.5,1034,0,2.45
02-25-2021 23:31:17,4.4,1033,0,2.45
02-25-2021 23:36:17,4.3,1034,0,2.45
02-25-2021 23:41:17,4.3,1034,0,2.45
02-25-2021 23:46:17,4.3,1034,0,2.45
02-25-2021 23:51:17,3.8,1033,0,2.06
02-25-2021 23:56:17,3.8,1033,0,2.06
02-26-2021 00:01:17,3.8,1033,0,2.06
02-26-2021 00:06:17,3.9,1034,0,2.12
02-26-2021 00:11:17,3.8,1034,0,2.12
02-26-2021 00:16:17,3.6,1034,0,2.12
02-26-2021 00:21:17,3.5,1034,0,2.12
02-26-2021 00:26:17,3.5,1034,0,2.12
02-26-2021 00:31:17,3.3,1034,0,2.12
02-26-2021 00:36:17,3.3,1034,0,2.12
02-26-2021 00:41:17,3.2,1034,0,2.43
02-26-2021 00:46:17,3.0,1034,0,2.43
02-26-2021 00:51:17,2.8,1034,0,2.43
02-26-2021 00:56:17,2.8,1034,0,2.43
02-26-2021 01:01:17,2.8,1034,0,2.35
02-26-2021 01:06:17,2.5,1034,0,2.06
02-26-2021 01:11:17,2.6,1034,0,2.06
02-26-2021 01:16:17,2.5,1034,0,2.06
02-26-2021 01:21:17,2.3,1034,0,2.06
02-26-2021 01:26:17,2.6,1034,0,2.35
02-26-2021 01:31:17,2.5,1034,0,2.35
02-26-2021 01:36:17,2.0,1034,0,0.51
02-26-2021 01:41:17,2.0,1034,0,0.51
02-26-2021 01:46:17,2.0,1034,0,0.51
02-26-2021 01:51:17,1.8,1034,0,0.51
02-26-2021 01:56:17,1.8,1034,0,0.51
02-26-2021 02:01:17,1.8,1034,0,0.51
02-26-2021 02:06:17,1.5,1034,0,0.51
02-26-2021 02:11:17,1.6,1034,0,0.51
02-26-2021 02:16:18,1.4,1034,0,0.51
02-26-2021 02:21:17,1.4,1034,0,0.51
02-26-2021 02:26:17,1.4,1034,0,0.51
02-26-2021 02:31:17,1.4,1034,0,0.51
02-26-2021 02:36:17,1.6,1035,0,2
02-26-2021 02:41:17,1.6,1035,0,2
02-26-2021 02:46:17,1.5,1035,0,2
02-26-2021 02:51:17,1.5,1035,0,2
02-26-2021 02:56:17,1.5,1035,0,2
02-26-2021 03:01:17,1.6,1034,0,2.16
02-26-2021 03:06:17,1.5,1035,0,2.16
02-26-2021 03:11:17,1.1,1035,0,2.06
02-26-2021 03:16:17,1.2,1035,0,2.16
02-26-2021 03:21:17,1.2,1035,0,2.16
02-26-2021 03:26:17,1.2,1035,0,2.16
02-26-2021 03:31:17,1.1,1035,0,2.16
02-26-2021 03:36:17,1.2,1035,0,2.16
02-26-2021 03:41:17,1.2,1035,0,2.16
02-26-2021 03:46:17,1.2,1035,0,2.16
02-26-2021 03:51:17,1.1,1035,0,2.16
02-26-2021 03:56:17,0.8,1035,0,2.57
02-26-2021 04:01:17,0.8,1035,0,2.57
02-26-2021 04:06:17,0.8,1035,0,2.45
02-26-2021 04:11:17,0.8,1035,0,2.45
02-26-2021 04:16:17,0.7,1035,0,2.45
02-26-2021 04:21:17,0.4,1035,0,2.06
02-26-2021 04:26:17,0.4,1035,0,2.06
02-26-2021 04:31:17,0.7,1035,0,2.45
02-26-2021 04:36:17,0.7,1035,0,2.45
02-26-2021 04:41:18,0.7,1035,0,2.45
02-26-2021 04:46:17,0.7,1035,0,2.45
02-26-2021 04:51:17,0.6,1035,0,2.45
02-26-2021 04:56:17,0.6,1035,0,2.45
02-26-2021 05:01:17,0.6,1035,0,2.23
02-26-2021 05:06:17,0.5,1035,0,2.23
02-26-2021 05:11:17,0.5,1035,0,2.23
02-26-2021 05:16:17,0.5,1035,0,2.23
02-26-2021 05:21:17,0.1,1035,0,1.54
02-26-2021 05:26:17,0.1,1035,0,1.54
02-26-2021 05:31:17,0.0,1035,0,1.54
02-26-2021 05:36:17,0.1,1036,0,2.23
02-26-2021 05:41:17,0.1,1036,0,2.23
02-26-2021 05:46:17,0.1,1036,0,2.23
02-26-2021 05:51:17,0.1,1036,0,1.89
02-26-2021 05:56:17,0.1,1036,0,1.89
02-26-2021 06:01:17,0.1,1036,0,2.09
02-26-2021 06:06:17,-0.4,1036,0,1.03
02-26-2021 06:11:17,-0.5,1036,0,1.03
02-26-2021 06:16:17,-0.9,1036,0,1.03
02-26-2021 06:21:17,-0.9,1036,0,1.03
02-26-2021 06:26:18,-0.9,1036,0,1.03
02-26-2021 06:31:17,-0.2,1036,0,1.73
02-26-2021 06:36:18,-0.3,1036,0,1.73
02-26-2021 06:41:18,-0.3,1036,0,1.73
02-26-2021 06:46:17,-0.3,1036,0,1.73
02-26-2021 06:51:17,-0.3,1036,0,1.73
02-26-2021 06:56:18,-0.3,1037,0,1.73
02-26-2021 07:01:17,-0.3,1036,0,1.56
02-26-2021 07:06:17,-0.7,1036,0,1.56
02-26-2021 07:11:17,-0.7,1036,0,1.56
02-26-2021 07:16:17,-0.8,1036,0,1.56
02-26-2021 07:21:17,-0.8,1036,0,1.56
02-26-2021 07:26:17,-0.8,1036,0,1.56
02-26-2021 07:31:17,-1.0,1036,0,1.56
02-26-2021 07:36:17,-0.6,1036,0,0.51
02-26-2021 07:41:17,-0.6,1036,0,0.51
